iter	Passed	Remaining
405	7231	3455
406	7249	3437
407	7268	3420
408	7287	3403
409	7304	3385
410	7321	3367
411	7338	3348
412	7356	3330
413	7373	3312
414	7391	3294
415	7409	3277
416	7427	3259
417	7447	3242
418	7465	3224
419	7482	3206
420	7501	3189
421	7519	3171
422	7535	3153
423	7552	3134
424	7569	3116
425	7586	3098
426	7603	3080
427	7621	3062
428	7638	3044
429	7655	3026
430	7673	3008
431	7690	2990
432	7708	2973
433	7725	2954
434	7741	2936
435	7761	2919
436	7778	2901
437	7799	2884
438	7814	2865
439	7832	2848
440	7849	2830
441	7867	2812
442	7885	2794
443	7903	2777
444	7920	2758
445	7940	2741
446	7956	2723
447	7975	2705
448	7992	2687
449	8010	2670
450	8027	2652
451	8044	2634
452	8063	2616
453	8081	2598
454	8101	2581
455	8119	2563
456	8137	2546
457	8155	2528
458	8173	2510
459	8189	2492
460	8207	2474
461	8227	2457
462	8244	2439
463	8261	2421
464	8280	2403
465	8297	2386
466	8315	2368
467	8334	2350
468	8352	2332
469	8371	2315
470	8390	2298
471	8408	2280
472	8425	2262
473	8441	2243
474	8459	2226
475	8478	2208
476	8497	2191
477	8514	2173
478	8531	2155
479	8551	2137
480	8571	2120
481	8589	2102
482	8607	2085
483	8626	2067
484	8643	2049
485	8663	2032
486	8680	2014
487	8699	1996
488	8718	1979
489	8738	1961
490	8757	1944
491	8776	1926
492	8794	1908
493	8813	1891
494	8831	1873
495	8848	1855
496	8866	1837
497	8884	1819
498	8902	1801
499	8918	1783
500	8936	1765
501	8954	1748
502	8980	1731
503	8998	1713
504	9016	1696
505	9033	1678
506	9052	1660
507	9069	1642
508	9087	1624
509	9103	1606
510	9121	1588
511	9137	1570
512	9157	1552
513	9173	1534
514	9191	1516
515	9208	1499
516	9225	1481
517	9244	1463
518	9262	1445
519	9281	1427
520	9299	1410
521	9316	1392
522	9334	1374
523	9351	1356
524	9370	1338
525	9389	1320
526	9406	1302
527	9423	1285
528	9440	1267
529	9460	1249
530	9479	1231
531	9498	1214
532	9517	1196
533	9534	1178
534	9553	1160
535	9571	1142
536	9591	1125
537	9608	1107
538	9630	1089
539	9647	1071
540	9664	1053
541	9681	1036
542	9700	1018
543	9718	1000
544	9737	982
545	9754	964
546	9771	946
547	9788	928
548	9806	911
549	9822	892
550	9840	875
551	9856	857
552	9875	839
553	9893	821
554	9911	803
555	9928	785
556	9945	767
557	9962	749
558	9980	732
559	9998	714
560	10015	696
561	10033	678
562	10050	660
563	10065	642
564	10083	624
565	10101	606
566	10120	589
567	10138	571
568	10154	553
569	10173	535
570	10190	517
571	10207	499
572	10225	481
573	10245	464
574	10262	446
575	10279	428
576	10296	410
577	10314	392
578	10332	374
579	10351	356
580	10370	339
581	10386	321
582	10403	303
583	10420	285
584	10438	267
585	10455	249
586	10471	231
587	10495	214
588	10512	196
589	10529	178
590	10547	160
591	10564	142
592	10581	124
593	10597	107
594	10616	89
595	10634	71
596	10649	53
597	10668	35
598	10685	17
599	10703	0
