iter	RMSE
349	2117.968357
350	2116.212781
351	2114.593925
352	2113.070406
353	2112.183892
354	2111.024188
355	2109.861002
356	2109.146783
357	2108.325801
358	2106.634541
359	2104.46921
360	2103.353105
361	2102.075052
362	2101.301637
363	2100.100028
364	2098.041951
365	2097.385039
366	2096.377044
367	2095.852161
368	2094.905784
369	2093.676756
370	2092.75334
371	2090.944277
372	2089.938831
373	2089.192147
374	2087.772454
375	2086.94141
376	2085.326164
377	2084.491183
378	2082.814569
379	2082.139256
380	2081.044161
381	2080.097821
382	2079.25877
383	2078.64942
384	2077.817306
385	2076.515287
386	2075.534966
387	2075.007247
388	2073.568432
389	2073.016569
390	2071.292492
391	2070.086907
392	2069.405883
393	2068.41499
394	2067.416298
395	2067.127831
396	2065.468844
397	2064.803801
398	2064.052626
399	2063.348551
400	2063.202642
401	2062.61786
402	2061.975545
403	2061.008747
404	2060.857856
405	2060.16727
406	2059.103481
407	2057.785397
408	2056.443134
409	2055.816638
410	2054.864493
411	2053.027559
412	2052.395985
413	2051.728291
414	2050.341049
415	2049.850632
416	2049.116841
417	2047.990062
418	2046.73006
419	2045.525366
420	2044.946826
421	2043.618574
422	2042.526567
423	2042.220861
424	2040.589837
425	2038.618985
426	2037.999652
427	2037.658499
428	2036.879094
429	2035.551224
430	2034.942931
431	2033.450077
432	2032.034228
433	2030.985707
434	2029.450685
435	2028.746809
436	2028.117356
437	2027.420484
438	2027.226793
439	2026.451036
440	2025.357597
441	2024.778289
442	2022.986821
443	2022.587231
444	2020.947518
445	2020.495123
446	2019.134415
447	2017.584644
448	2016.827369
449	2016.270985
450	2015.775105
451	2015.106113
452	2014.713285
453	2013.657139
454	2013.091332
455	2012.610278
456	2011.973153
457	2010.976616
458	2009.912138
459	2009.360372
460	2008.689303
461	2007.888784
462	2006.655706
463	2005.348271
464	2004.588028
465	2003.622007
466	2002.833534
467	2002.222477
468	2001.309796
469	2000.852562
470	1999.213641
471	1998.41684
472	1997.882601
473	1997.201967
474	1996.012373
475	1994.883604
476	1994.38992
477	1993.324988
478	1992.010657
479	1991.396416
480	1990.77066
481	1989.284968
482	1988.641102
483	1988.253659
484	1987.027902
485	1986.503517
486	1985.753206
487	1985.203224
488	1984.7572
489	1984.224281
490	1983.797672
491	1982.502149
492	1981.375767
493	1980.492504
494	1979.932005
495	1979.559486
496	1979.373749
497	1979.094994
498	1977.754011
499	1976.499706
500	1976.036494
501	1974.878568
502	1973.902771
503	1973.509983
504	1973.276063
505	1972.200543
506	1971.766968
507	1971.197487
508	1970.576565
509	1969.659483
510	1969.007398
511	1968.463198
512	1967.846002
513	1967.484414
514	1966.334162
515	1965.357203
516	1964.880323
517	1963.739612
518	1963.515383
519	1962.436592
520	1961.456945
521	1960.313346
522	1959.767241
523	1959.155355
524	1958.007866
525	1956.992984
526	1956.009033
527	1955.087874
528	1954.140813
529	1953.482646
530	1952.074613
531	1951.242942
532	1950.85272
533	1950.039959
534	1949.393054
535	1948.377528
536	1948.013868
537	1947.869593
538	1946.85136
539	1946.048644
540	1945.542269
541	1945.185363
542	1944.222296
543	1943.329518
544	1942.437487
545	1941.453057
546	1940.476124
547	1939.962494
548	1939.568359
549	1938.608101
550	1937.720177
551	1936.65305
552	1936.29416
553	1935.339888
554	1934.968476
555	1933.943673
556	1933.098227
557	1932.132016
558	1931.228646
559	1930.260254
560	1929.32238
561	1928.274509
562	1927.355611
563	1926.52605
564	1925.698278
565	1924.959396
566	1924.050537
567	1923.224239
568	1922.444912
569	1921.551692
570	1920.711368
571	1919.849563
572	1918.486093
573	1917.239092
574	1916.481238
575	1915.616393
576	1914.766859
577	1914.18945
578	1913.428039
579	1913.084472
580	1912.242281
581	1911.248336
582	1910.571612
583	1909.802546
584	1909.079192
585	1908.548161
586	1907.59321
587	1906.276557
588	1905.456817
589	1904.611386
590	1904.155999
591	1903.26714
592	1903.025167
593	1902.338768
594	1901.611476
595	1900.90026
596	1900.830839
597	1900.340936
598	1899.528872
599	1898.823535
